37°00′32″N,37.00896421,121°33′41″W,-121.56150542,0.4336,59.512°
37°00′31″N,37.00849447,121°34′26″W,-121.57398677,0.3668,300.745°
37°00′32″N,37.00895892,121°34′08″W,-121.56885483,0.2219,351.71°
37°00′00″N,37.00011592,121°34′02″W,-121.56713945,0.3966,170.905°
37°00′41″N,37.01129452,121°34′06″W,-121.56843186,0.3811,358.699°
37°00′09″N,37.00256838,121°33′37″W,-121.56037751,0.4892,116.995°
37°00′42″N,37.01154496,121°34′13″W,-121.57027127,0.4133,344.54°
37°00′00″N,37.00002048,121°34′16″W,-121.57117253,0.4291,201.883°
37°00′36″N,37.01002587,121°33′40″W,-121.56099771,0.4974,53.856°
37°00′07″N,37.00189111,121°33′50″W,-121.5640266,0.3568,138.908°
36°59′56″N,36.99875448,121°34′13″W,-121.57037952,0.4994,193.451°
37°00′01″N,37.00038023,121°34′20″W,-121.57233478,0.4354,210.975°
37°00′07″N,37.0020627,121°33′59″W,-121.56628664,0.2795,156.877°
37°00′19″N,37.00526473,121°34′36″W,-121.57659072,0.4604,265.552°
37°00′45″N,37.01240471,121°34′13″W,-121.57032303,0.4715,346.131°
37°00′01″N,37.00036373,121°34′02″W,-121.56713112,0.3797,170.428°
37°00′30″N,37.00822585,121°33′42″W,-121.56175877,0.3974,64.838°
37°00′24″N,37.00666791,121°33′46″W,-121.56289659,0.3031,78.339°
37°00′16″N,37.00456277,121°33′43″W,-121.56185971,0.364,103.38°
37°00′04″N,37.00111692,121°34′18″W,-121.57163281,0.3719,209.893°
37°00′16″N,37.00456644,121°34′11″W,-121.56984253,0.1206,225.85°
37°00′11″N,37.00314014,121°34′05″W,-121.56806423,0.1829,176.352°
37°00′18″N,37.00508699,121°33′57″W,-121.56578618,0.1455,109.262°
37°00′18″N,37.00496256,121°33′57″W,-121.56592911,0.1413,113.613°
37°00′04″N,37.00117551,121°33′41″W,-121.56146597,0.4925,130.264°
37°00′25″N,37.00704714,121°34′14″W,-121.57051791,0.1516,305.246°
37°00′39″N,37.01096859,121°34′19″W,-121.57184424,0.4091,331.213°
37°00′07″N,37.00183674,121°34′08″W,-121.56884717,0.2745,186.606°
37°00′01″N,37.00035094,121°34′21″W,-121.57241399,0.4394,211.328°
37°00′31″N,37.00863294,121°34′13″W,-121.57016416,0.223,332.119°
37°00′40″N,37.01101497,121°34′13″W,-121.57014746,0.3762,344.056°
37°00′22″N,37.00601054,121°33′43″W,-121.56191399,0.3515,87.418°
37°00′21″N,37.00583839,121°33′58″W,-121.56612653,0.1187,88.104°
37°00′11″N,37.00305093,121°33′52″W,-121.56440103,0.2852,131.431°
37°00′33″N,37.00903314,121°34′24″W,-121.57333617,0.3585,308.819°
37°00′40″N,37.0111961,121°34′13″W,-121.57031436,0.3908,343.262°
37°00′37″N,37.01019392,121°33′50″W,-121.56381333,0.392,38.92°
37°00′19″N,37.00534578,121°34′25″W,-121.57372613,0.3024,264.284°
37°00′26″N,37.00709981,121°33′52″W,-121.56452148,0.2263,66.261°
37°00′39″N,37.01076312,121°33′59″W,-121.56668057,0.3554,14.338°
37°00′10″N,37.0026803,121°34′03″W,-121.56747116,0.2189,168.304°
37°00′15″N,37.00427018,121°34′09″W,-121.56926997,0.118,207.729°
37°00′27″N,37.00750654,121°34′28″W,-121.57447738,0.3625,289.203°
37°00′12″N,37.00333648,121°34′14″W,-121.5705062,0.2091,216.081°
37°00′18″N,37.00506857,121°34′06″W,-121.56835653,0.0495,185.211°
37°00′16″N,37.0044574,121°34′35″W,-121.57627118,0.4507,258.287°
37°00′32″N,37.00876385,121°34′34″W,-121.57602186,0.4747,295.74°
37°00′09″N,37.00263803,121°33′43″W,-121.56201598,0.4081,122.164°
37°00′10″N,37.00272762,121°34′24″W,-121.57331117,0.349,232.79°
37°00′45″N,37.01252615,121°34′18″W,-121.57153257,0.4996,338.91°
37°00′41″N,37.01139371,121°34′21″W,-121.57259658,0.4554,328.414°
37°00′18″N,37.00498195,121°34′11″W,-121.56967927,0.0952,234.507°
37°00′41″N,37.0115236,121°33′57″W,-121.56570337,0.4215,19.679°
37°00′32″N,37.00886349,121°34′28″W,-121.57454757,0.4065,301.605°
37°00′13″N,37.00357377,121°33′47″W,-121.56306469,0.3256,117.949°
37°00′27″N,37.00745401,121°33′57″W,-121.56574306,0.1814,50.405°
37°00′25″N,37.00684316,121°33′51″W,-121.5641868,0.2373,71.987°
37°00′31″N,37.0086109,121°34′11″W,-121.56980787,0.2131,336.606°
37°00′33″N,37.00912007,121°34′17″W,-121.57138812,0.2877,323.328°
37°00′06″N,37.00175654,121°33′55″W,-121.56530773,0.3228,149.512°
37°00′06″N,37.00177146,121°34′32″W,-121.57551456,0.4863,235.256°
37°00′26″N,37.00730192,121°33′40″W,-121.56121378,0.4037,74.909°
37°00′27″N,37.00749196,121°33′40″W,-121.56123033,0.4064,73.087°
37°00′05″N,37.00149968,121°33′50″W,-121.5637517,0.3872,139.846°
37°00′24″N,37.00655968,121°34′13″W,-121.57041296,0.1297,294.502°
37°00′40″N,37.01107512,121°34′06″W,-121.5684241,0.366,358.712°
37°00′22″N,37.00619614,121°33′43″W,-121.56192196,0.3518,85.327°
37°00′38″N,37.01054006,121°34′15″W,-121.57083531,0.358,336.75°
37°00′07″N,37.00182654,121°33′49″W,-121.5635142,0.3792,136.129°
37°00′33″N,37.00918857,121°33′41″W,-121.56134497,0.4492,58.38°
36°59′57″N,36.99910241,121°34′11″W,-121.56976227,0.4689,190.083°
37°00′16″N,37.00434801,121°34′12″W,-121.57009748,0.1412,225.431°
37°00′11″N,37.00300347,121°34′15″W,-121.57089274,0.2403,216.961°
37°00′23″N,37.0062637,121°33′59″W,-121.56647864,0.1046,71.425°
37°00′20″N,37.00565708,121°33′57″W,-121.56588597,0.1321,93.734°
37°00′33″N,37.00912367,121°34′17″W,-121.57127334,0.2841,324.383°
37°00′17″N,37.00465988,121°34′21″W,-121.57245461,0.2434,251.425°
37°00′15″N,37.00426833,121°33′57″W,-121.56572541,0.1753,126.619°
37°00′11″N,37.00306042,121°33′47″W,-121.56318787,0.338,123.813°
37°00′06″N,37.00162259,121°33′40″W,-121.56106252,0.491,125.829°
37°00′18″N,37.00500274,121°33′58″W,-121.56605442,0.1339,113.71°
37°00′26″N,37.00710806,121°34′36″W,-121.57680507,0.4796,281.022°
37°00′00″N,37.00010395,121°34′01″W,-121.56699952,0.3987,169.828°
37°00′00″N,36.99999547,121°34′01″W,-121.56698044,0.4062,169.868°
37°00′07″N,37.00207144,121°34′25″W,-121.57347594,0.3849,228.227°
37°00′08″N,37.0023068,121°33′52″W,-121.56448127,0.3186,138.913°
37°00′18″N,37.00495314,121°34′21″W,-121.57263071,0.2471,256.604°
37°00′05″N,37.00146089,121°33′51″W,-121.56419719,0.374,142.993°
37°00′35″N,37.00974399,121°33′45″W,-121.56256264,0.4176,49.02°
37°00′25″N,37.00690495,121°33′59″W,-121.56677033,0.1137,46.929°
37°00′08″N,37.00231999,121°34′16″W,-121.57115358,0.2872,213.588°
37°00′18″N,37.00494249,121°34′18″W,-121.57161994,0.1935,252.561°
37°00′19″N,37.00536666,121°34′13″W,-121.5701909,0.1096,254.826°
37°00′15″N,37.00404199,121°33′48″W,-121.5632317,0.3032,113.359°
37°00′27″N,37.00740289,121°34′25″W,-121.57358873,0.314,290.913°
36°59′55″N,36.99868471,121°34′02″W,-121.56726026,0.4937,173.485°
36°59′59″N,36.99970814,121°34′05″W,-121.56803006,0.42,178.154°
37°00′07″N,37.00207927,121°33′43″W,-121.56191311,0.4345,126.079°
37°00′15″N,37.0042711,121°34′32″W,-121.57544144,0.4091,255.217°
37°00′27″N,37.0074648,121°34′10″W,-121.56948523,0.1341,330.139°
37°00′38″N,37.01062614,121°33′59″W,-121.56644197,0.3498,16.812°
37°00′18″N,37.00501683,121°34′38″W,-121.57723531,0.4974,263.902°
37°00′12″N,37.00342096,121°34′09″W,-121.56926335,0.172,198.486°
37°00′12″N,37.00321957,121°33′39″W,-121.56084711,0.4466,113.358°
37°00′25″N,37.00682168,121°34′29″W,-121.57462873,0.358,281.587°
36°59′57″N,36.99912034,121°34′02″W,-121.56725345,0.4638,173.017°
37°00′23″N,37.00625729,121°33′48″W,-121.56343953,0.2689,82.976°
37°00′28″N,37.00787428,121°34′32″W,-121.57542305,0.4202,290.136°
37°00′00″N,37.00003931,121°34′25″W,-121.57374221,0.4986,217.249°
37°00′10″N,37.00272525,121°33′46″W,-121.5626813,0.3741,124.378°
37°00′34″N,37.00947116,121°33′57″W,-121.56588487,0.2871,27.353°
37°00′33″N,37.0092075,121°34′32″W,-121.57568397,0.4725,300.075°
37°00′19″N,37.00524776,121°34′05″W,-121.56815633,0.0375,169.925°
37°00′12″N,37.00342086,121°33′58″W,-121.5661074,0.2023,143.747°
37°00′08″N,37.00226767,121°33′59″W,-121.5663807,0.2644,156.706°
37°00′08″N,37.00221144,121°34′14″W,-121.57061238,0.2784,207.602°
37°00′33″N,37.00906197,121°34′14″W,-121.57053653,0.2588,331.167°
37°00′25″N,37.00699682,121°34′38″W,-121.57715928,0.4975,279.722°
37°00′24″N,37.0066261,121°34′27″W,-121.57427646,0.3363,279.995°
37°00′18″N,37.00495642,121°34′13″W,-121.57024774,0.1229,242.354°
37°00′37″N,37.01034783,121°33′44″W,-121.56213391,0.4631,47.041°
37°00′22″N,37.00601153,121°34′13″W,-121.57036192,0.1163,277.856°
37°00′04″N,37.00118601,121°34′29″W,-121.57485216,0.4824,228.818°
37°00′33″N,37.00903695,121°34′03″W,-121.56740871,0.23,11.998°
37°00′08″N,37.00220789,121°33′39″W,-121.56087425,0.4774,121.158°
37°00′26″N,37.00732567,121°34′19″W,-121.57193227,0.2283,297.867°
37°00′07″N,37.00205917,121°33′39″W,-121.56080083,0.4862,121.947°
37°00′01″N,37.00037294,121°34′05″W,-121.56807195,0.374,178.282°
37°00′16″N,37.00432439,121°34′07″W,-121.56868473,0.1032,192.652°
37°00′01″N,37.00018197,121°34′04″W,-121.56765785,0.3885,174.969°
37°00′24″N,37.00665506,121°34′18″W,-121.57172843,0.1999,287.576°
