37°54′39″N,37.91093757,122°32′59″W,-122.54975729,0.4274,322.416°
37°54′02″N,37.9005747,122°32′46″W,-122.54599761,0.3816,188.393°
37°54′34″N,37.9094615,122°32′48″W,-122.54676889,0.2561,337.561°
37°54′24″N,37.90670004,122°32′57″W,-122.54922802,0.2363,281.185°
37°54′03″N,37.90080894,122°32′28″W,-122.54113718,0.4176,149.909°
37°54′29″N,37.90794871,122°32′48″W,-122.54673542,0.1633,324.023°
37°54′22″N,37.90605152,122°32′37″W,-122.54368788,0.0703,89.17°
37°54′29″N,37.90805262,122°32′16″W,-122.53781432,0.4147,70.365°
37°54′29″N,37.90812347,122°32′33″W,-122.54261288,0.1934,41.785°
37°54′41″N,37.91135581,122°32′36″W,-122.54332044,0.3786,13.799°
37°54′13″N,37.90353279,122°32′54″W,-122.54827198,0.2495,226.083°
37°54′23″N,37.90644111,122°32′46″W,-122.54603098,0.0639,295.913°
37°54′34″N,37.90932724,122°32′37″W,-122.54369189,0.238,17.118°
37°54′24″N,37.90662869,122°32′59″W,-122.55013833,0.2845,278.27°
37°54′02″N,37.90044433,122°32′49″W,-122.54683152,0.3996,194.669°
37°54′16″N,37.90457269,122°33′09″W,-122.55261625,0.4288,256.351°
37°54′20″N,37.90544281,122°32′36″W,-122.54332656,0.0989,114.528°
37°54′43″N,37.91207317,122°32′27″W,-122.54080166,0.4753,28.618°
37°54′09″N,37.90249964,122°32′52″W,-122.5477051,0.2862,211.33°
37°54′19″N,37.9052094,122°32′34″W,-122.5426674,0.1383,114.425°
37°54′43″N,37.91191914,122°32′37″W,-122.54351335,0.4143,11.101°
37°53′57″N,37.89916804,122°32′47″W,-122.54632506,0.4804,188.808°
37°54′11″N,37.90312741,122°32′53″W,-122.54792065,0.2573,218.609°
37°54′03″N,37.90087838,122°32′51″W,-122.54756018,0.3834,201.567°
37°54′10″N,37.90290152,122°32′33″W,-122.54239629,0.2584,147.004°
37°54′32″N,37.90880388,122°32′59″W,-122.55004443,0.3361,304.684°
37°54′09″N,37.90253519,122°33′05″W,-122.55127669,0.4203,234.842°
37°54′07″N,37.90183142,122°33′01″W,-122.55031552,0.4114,225.053°
37°54′36″N,37.91010004,122°32′32″W,-122.54212303,0.3211,28.988°
37°54′44″N,37.91233482,122°32′29″W,-122.54151529,0.4744,23.439°
37°54′24″N,37.90679548,122°32′55″W,-122.54860395,0.2047,284.847°
37°54′39″N,37.91078126,122°32′19″W,-122.53862845,0.4768,46.548°
37°54′10″N,37.9027935,122°32′31″W,-122.54198006,0.2774,143.91°
37°54′26″N,37.90718888,122°32′59″W,-122.54976069,0.2728,286.973°
37°54′05″N,37.90143765,122°32′38″W,-122.54401812,0.3221,170.664°
37°54′08″N,37.90225777,122°32′54″W,-122.54845751,0.3229,216.013°
37°54′23″N,37.90638117,122°32′19″W,-122.53850847,0.3535,86.137°
37°54′15″N,37.90408724,122°33′13″W,-122.55359309,0.4889,254.003°
37°54′07″N,37.90201197,122°32′49″W,-122.54682421,0.2959,199.915°
37°54′13″N,37.90348608,122°32′59″W,-122.54971736,0.3129,235.713°
37°54′20″N,37.90557195,122°32′23″W,-122.53971122,0.2889,96.383°
37°54′23″N,37.90631083,122°32′42″W,-122.54489861,0.0194,12.61°
37°54′23″N,37.90633394,122°33′03″W,-122.55070119,0.3129,273.765°
37°54′22″N,37.906111,122°32′50″W,-122.54726032,0.1247,272.358°
37°54′05″N,37.90130904,122°32′53″W,-122.54808214,0.3681,207.401°
37°54′37″N,37.91014491,122°32′31″W,-122.54200471,0.3269,29.713°
37°54′10″N,37.90285377,122°32′37″W,-122.54348954,0.2345,159.768°
37°54′35″N,37.90977005,122°32′59″W,-122.54971368,0.3651,314.967°
37°54′14″N,37.90393878,122°32′21″W,-122.53927423,0.3431,114.999°
37°54′30″N,37.90832554,122°32′59″W,-122.55005735,0.3191,299.724°
37°54′13″N,37.90358788,122°32′29″W,-122.54142621,0.2572,131.161°
37°54′20″N,37.90547644,122°32′38″W,-122.54402706,0.0647,126.803°
37°54′04″N,37.90097401,122°32′38″W,-122.54379208,0.3558,169.543°
37°54′28″N,37.90788179,122°32′25″W,-122.54036002,0.2822,63.134°
37°54′28″N,37.90776841,122°33′14″W,-122.55385698,0.4989,283.884°
37°54′39″N,37.9109567,122°32′18″W,-122.53830511,0.498,46.931°
37°54′09″N,37.9025213,122°32′22″W,-122.53953328,0.3836,129.301°
37°54′15″N,37.90420063,122°32′13″W,-122.53689376,0.4587,106.06°
37°54′31″N,37.90862777,122°33′11″W,-122.55300733,0.4732,292.242°
37°54′29″N,37.90792372,122°32′16″W,-122.53774011,0.4156,71.709°
37°54′41″N,37.91125573,122°32′36″W,-122.54329914,0.3721,14.227°
37°54′33″N,37.90914645,122°32′26″W,-122.54045786,0.327,48.902°
37°54′19″N,37.90517781,122°32′56″W,-122.54892933,0.2236,254.604°
37°54′05″N,37.90143392,122°32′42″W,-122.54487443,0.3182,179°
