37°38′30″N,37.64173011,120°59′39″W,-120.99418489,0.2342,39.008°
37°38′16″N,37.6377048,121°00′15″W,-121.00408184,0.4058,256.285°
37°38′33″N,37.64246203,121°00′12″W,-121.00334033,0.4233,303.33°
37°38′37″N,37.64352569,120°59′27″W,-120.99074291,0.4543,47.648°
37°38′08″N,37.63549911,120°59′41″W,-120.99462966,0.2775,153.67°
37°38′13″N,37.63691923,120°59′39″W,-120.99416598,0.2114,135.399°
37°38′26″N,37.64043923,120°59′58″W,-120.99934862,0.164,304.452°
37°38′41″N,37.64480845,120°59′36″W,-120.99324068,0.4421,26.762°
37°38′06″N,37.63511324,120°59′47″W,-120.99650337,0.2761,175.739°
37°38′27″N,37.6408878,120°59′25″W,-120.99021072,0.3853,71.264°
37°38′21″N,37.63909813,120°59′33″W,-120.99237636,0.2464,89.984°
37°37′58″N,37.63286972,120°59′49″W,-120.99706681,0.4305,181.374°
37°38′41″N,37.6446469,120°59′28″W,-120.99114024,0.4957,39.306°
37°38′40″N,37.64442638,121°00′03″W,-121.00078115,0.4258,329.891°
37°38′18″N,37.63838978,120°59′47″W,-120.99628502,0.0587,146.416°
37°38′30″N,37.64159974,120°59′19″W,-120.98857979,0.486,69.149°
37°38′08″N,37.63543719,120°59′35″W,-120.99318155,0.3239,141.345°
37°38′27″N,37.64086138,120°59′40″W,-120.99455014,0.1764,46.259°
37°38′11″N,37.63645053,121°00′15″W,-121.00425435,0.4432,245.626°
37°38′41″N,37.64467034,121°00′02″W,-121.0005099,0.4335,332.707°
37°38′31″N,37.64186514,120°59′52″W,-120.99775032,0.1972,345.991°
37°38′26″N,37.64066625,121°00′03″W,-121.00069891,0.2356,297.413°
37°38′37″N,37.64349966,120°59′53″W,-120.99815038,0.3121,347.112°
37°38′28″N,37.64102907,120°59′30″W,-120.99156121,0.3202,65.351°
37°38′40″N,37.6444495,120°59′29″W,-120.99151234,0.4723,38.443°
37°38′32″N,37.64232636,121°00′07″W,-121.00194668,0.356,308.821°
37°38′42″N,37.64506696,120°59′34″W,-120.99276148,0.4701,28.635°
37°38′22″N,37.6394259,121°00′01″W,-121.00036387,0.1921,276.792°
37°38′07″N,37.63517485,121°00′06″W,-121.00179747,0.3821,224.805°
37°38′22″N,37.63934834,120°59′51″W,-120.99754156,0.0402,295.552°
37°38′15″N,37.6374583,120°59′53″W,-120.9979901,0.1286,208.247°
37°38′39″N,37.64406151,121°00′03″W,-121.00089789,0.4076,327.334°
37°38′27″N,37.64074108,120°59′53″W,-120.99805252,0.1305,330.505°
37°38′01″N,37.63372022,120°59′59″W,-120.99967233,0.4019,202.368°
37°38′03″N,37.63424468,120°59′49″W,-120.99684591,0.3354,179.698°
37°38′39″N,37.64404431,120°59′25″W,-120.99026016,0.4981,46.647°
37°38′31″N,37.64207377,120°59′38″W,-120.99380151,0.2659,39.299°
37°38′34″N,37.64265949,120°59′53″W,-120.99799459,0.2537,346.063°
37°38′06″N,37.63508832,121°00′12″W,-121.00346198,0.4546,232.445°
37°38′41″N,37.64471663,120°59′36″W,-120.99326848,0.4357,26.959°
37°38′27″N,37.64078388,120°59′36″W,-120.99335586,0.2253,58.837°
37°38′28″N,37.6410253,121°00′11″W,-121.00318666,0.3701,291.107°
37°38′26″N,37.64057848,120°59′23″W,-120.9897762,0.402,75.242°
37°38′22″N,37.63941605,121°00′11″W,-121.00293297,0.3321,273.807°
37°38′20″N,37.63889544,120°59′48″W,-120.99661209,0.0202,133.754°
37°38′28″N,37.64107592,120°59′21″W,-120.98910314,0.447,72.181°
37°38′31″N,37.64189214,120°59′39″W,-120.99407128,0.2468,38.493°
37°38′32″N,37.64224262,120°59′23″W,-120.98971048,0.4485,61.003°
37°38′11″N,37.63626786,121°00′05″W,-121.00127092,0.3099,230.878°
37°37′56″N,37.63216934,120°59′55″W,-120.99864849,0.4885,191.44°
37°38′24″N,37.64002267,120°59′42″W,-120.99510395,0.1163,56.626°
