38°34′38″N,38.57730739,121°29′41″W,-121.49476419,0.2954,183.824°
38°34′47″N,38.57983082,121°30′04″W,-121.50106524,0.3797,251.526°
38°35′01″N,38.58369583,121°29′30″W,-121.49174376,0.2053,44.347°
38°35′00″N,38.58323433,121°29′38″W,-121.49376085,0.12,16.718°
38°35′02″N,38.58396147,121°29′50″W,-121.49709173,0.2201,318.631°
38°34′55″N,38.5819472,121°29′53″W,-121.49801062,0.1968,277.574°
38°34′42″N,38.57827179,121°29′18″W,-121.4882311,0.4039,124.384°
38°35′07″N,38.58524734,121°30′00″W,-121.50004565,0.397,309.788°
38°34′45″N,38.57927687,121°29′56″W,-121.4989114,0.2908,236.949°
38°34′49″N,38.58041332,121°29′25″W,-121.49031668,0.2347,109.949°
38°34′38″N,38.57713652,121°29′52″W,-121.49774626,0.3559,210.536°
38°35′06″N,38.58498073,121°29′43″W,-121.49540943,0.2418,346.962°
38°35′05″N,38.58468116,121°29′11″W,-121.48636195,0.4845,63.668°
38°35′08″N,38.58556212,121°30′05″W,-121.50125147,0.4616,306.688°
38°34′35″N,38.57647458,121°30′02″W,-121.50069261,0.4896,223.985°
38°35′01″N,38.58368029,121°29′34″W,-121.49273334,0.1713,31.707°
38°34′54″N,38.5815474,121°29′41″W,-121.49477551,0.0204,265.234°
38°34′47″N,38.57984546,121°29′13″W,-121.48697994,0.4183,106.574°
38°34′42″N,38.57824388,121°30′04″W,-121.50098078,0.4235,237.104°
38°34′58″N,38.58277765,121°29′40″W,-121.49447008,0.0834,357.384°
38°34′31″N,38.57519798,121°29′41″W,-121.49469744,0.4408,182.092°
38°34′33″N,38.57597222,121°29′27″W,-121.49071244,0.4353,152.762°
38°35′09″N,38.58576944,121°29′15″W,-121.48740182,0.4766,52.497°
38°34′44″N,38.57900087,121°29′52″W,-121.49775919,0.254,225.611°
38°34′43″N,38.57850423,121°29′54″W,-121.49831557,0.2995,224.941°
38°35′15″N,38.58737005,121°29′54″W,-121.49832675,0.4534,332.102°
38°34′41″N,38.57798038,121°29′13″W,-121.48684868,0.4776,121.316°
38°34′58″N,38.58270347,121°29′08″W,-121.48568123,0.4775,80.57°
38°34′38″N,38.57713131,121°29′40″W,-121.49440494,0.3069,180.054°
38°35′12″N,38.58658056,121°29′29″W,-121.49146793,0.3807,24.585°
38°35′08″N,38.58550749,121°29′43″W,-121.49520007,0.2754,350.966°
38°34′38″N,38.5773089,121°29′26″W,-121.49057902,0.3598,144.983°
38°35′06″N,38.58496747,121°29′48″W,-121.49662517,0.2637,332.872°
38°35′06″N,38.584998,121°29′32″W,-121.49223995,0.264,26.231°
38°34′32″N,38.57546886,121°29′33″W,-121.49246461,0.4346,166.079°
38°35′14″N,38.58734776,121°29′27″W,-121.49079862,0.4441,25.981°
38°35′06″N,38.58508488,121°29′38″W,-121.4937702,0.2452,7.972°
38°34′53″N,38.58151042,121°29′23″W,-121.4896867,0.2547,90.955°
38°34′54″N,38.5817454,121°29′53″W,-121.49816838,0.204,273.372°
38°34′42″N,38.57842132,121°29′41″W,-121.49483393,0.219,186.151°
38°34′59″N,38.5830915,121°29′09″W,-121.48580044,0.4763,77.259°
38°35′10″N,38.58619803,121°29′49″W,-121.49687794,0.3466,337.278°
38°35′16″N,38.58764547,121°29′57″W,-121.49923164,0.4943,328.124°
38°34′31″N,38.57524821,121°29′37″W,-121.49363398,0.439,174.593°
38°34′41″N,38.57819145,121°29′38″W,-121.49377704,0.2361,171.807°
38°35′13″N,38.58687297,121°29′47″W,-121.49649636,0.3835,342.82°
