36°58′08″N,36.96899829,122°01′52″W,-122.03120382,0.3545,183.639°
36°58′33″N,36.9757069,122°01′36″W,-122.0265803,0.2574,64.731°
36°58′06″N,36.96833495,122°01′39″W,-122.02758828,0.4371,156.093°
36°58′13″N,36.97034338,122°02′10″W,-122.03621694,0.397,228.933°
36°58′14″N,36.97068899,122°02′12″W,-122.0365717,0.3973,233.391°
36°58′29″N,36.97479531,122°01′55″W,-122.03197668,0.0803,305.724°
36°58′14″N,36.97055547,122°02′10″W,-122.03610578,0.3828,229.984°
36°58′11″N,36.96960284,122°01′58″W,-122.0328625,0.3322,200.087°
36°58′50″N,36.98060565,122°01′39″W,-122.02739655,0.4862,22.712°
36°58′38″N,36.9773142,122°02′11″W,-122.03648179,0.3839,305.143°
36°58′31″N,36.97527276,122°02′15″W,-122.03753318,0.3805,282.121°
36°58′40″N,36.97770232,122°01′32″W,-122.02567784,0.3759,48.755°
36°58′04″N,36.96763959,122°01′54″W,-122.03160367,0.4499,185.687°
36°58′48″N,36.97995279,122°01′33″W,-122.02569741,0.4919,34.914°
36°58′36″N,36.97675671,122°02′14″W,-122.03716789,0.3963,297.412°
36°58′34″N,36.97604306,122°01′29″W,-122.02485409,0.3541,67.916°
36°58′43″N,36.9785733,122°01′55″W,-122.03198511,0.3149,347.969°
36°58′27″N,36.9740952,122°02′10″W,-122.03599837,0.2872,269.7°
36°58′13″N,36.97019322,122°01′38″W,-122.02711573,0.3389,143.151°
36°58′41″N,36.978017,122°01′59″W,-122.03340127,0.3055,331.915°
36°58′38″N,36.97731842,122°01′35″W,-122.02636981,0.3297,47.845°
36°58′20″N,36.97217171,122°01′45″W,-122.02916999,0.1617,146.261°
36°58′40″N,36.97784085,122°01′50″W,-122.03044024,0.2581,4.368°
36°58′48″N,36.98003952,122°02′02″W,-122.03393711,0.4446,337.04°
36°58′21″N,36.97250723,122°01′37″W,-122.02692047,0.2412,117.469°
36°58′34″N,36.9761537,122°01′59″W,-122.03309815,0.1897,317.92°
36°58′38″N,36.97722139,122°01′37″W,-122.02682832,0.3067,45.599°
36°58′34″N,36.97623076,122°01′28″W,-122.02451837,0.3762,67.146°
36°58′34″N,36.97613441,122°01′21″W,-122.02259431,0.4739,72.886°
36°58′42″N,36.97824418,122°01′38″W,-122.02717078,0.3485,35.06°
36°58′52″N,36.98106895,122°01′51″W,-122.03095021,0.4806,358.987°
36°58′42″N,36.97843894,122°01′52″W,-122.03104757,0.299,357.341°
36°58′43″N,36.97874889,122°02′07″W,-122.03538885,0.4084,321.618°
36°58′25″N,36.97367831,122°01′24″W,-122.02338722,0.4102,94.237°
36°58′50″N,36.98049995,122°01′56″W,-122.03211259,0.4471,350.645°
36°58′36″N,36.97664819,122°02′16″W,-122.03766325,0.4176,294.769°
36°58′33″N,36.97584829,122°02′03″W,-122.03409265,0.2178,303.321°
36°58′32″N,36.97563874,122°01′59″W,-122.03345653,0.1807,305.603°
36°58′37″N,36.97683239,122°02′12″W,-122.03667604,0.375,300.032°
36°58′31″N,36.97521031,122°02′18″W,-122.03832301,0.4224,280.306°
36°58′46″N,36.97939423,122°02′08″W,-122.03560325,0.4511,323.958°
36°58′04″N,36.96775859,122°01′39″W,-122.02740365,0.4777,156.911°
36°58′06″N,36.9683778,122°01′45″W,-122.02912109,0.4073,166.873°
36°58′35″N,36.97648866,122°01′27″W,-122.02409326,0.4048,66.111°
36°58′18″N,36.97152876,122°01′59″W,-122.0332422,0.2242,217.052°
36°58′39″N,36.97752685,122°01′28″W,-122.02445545,0.422,56.053°
36°58′09″N,36.96923482,122°01′56″W,-122.03219536,0.3462,192.896°
36°58′27″N,36.97403867,122°02′21″W,-122.0390406,0.4553,269.32°
36°58′44″N,36.97880643,122°01′37″W,-122.0268128,0.3917,34.161°
36°58′32″N,36.97554268,122°02′20″W,-122.03890108,0.4582,282.419°
36°58′20″N,36.97221021,122°02′12″W,-122.03669023,0.3511,247.956°
36°58′41″N,36.97799262,122°01′57″W,-122.03244604,0.2829,341.219°
36°58′17″N,36.97138305,122°01′44″W,-122.0287991,0.2188,149.731°
36°58′32″N,36.9754944,122°01′21″W,-122.0224363,0.4713,78.345°
36°58′13″N,36.97024709,122°01′24″W,-122.02342779,0.4869,123.318°
36°58′27″N,36.97405168,122°02′10″W,-122.03606987,0.2912,269.112°
36°58′23″N,36.9731684,122°01′54″W,-122.03157257,0.0783,213.173°
36°58′37″N,36.97698123,122°01′50″W,-122.03066681,0.1981,2.068°
36°58′27″N,36.9741536,122°02′14″W,-122.03711393,0.3489,270.416°
36°58′32″N,36.97548395,122°01′35″W,-122.02643556,0.2587,68.576°
36°58′23″N,36.97302768,122°02′09″W,-122.03594715,0.2942,255.173°
36°58′46″N,36.97953543,122°01′36″W,-122.02653779,0.4422,32.122°
36°58′40″N,36.97773159,122°02′15″W,-122.03762458,0.4523,303.53°
36°58′22″N,36.97281169,122°01′50″W,-122.03061554,0.0908,173.687°
36°58′07″N,36.96855763,122°01′57″W,-122.03249316,0.3955,193.705°
36°58′38″N,36.97721672,122°02′03″W,-122.03403327,0.279,320.163°
36°58′47″N,36.97964548,122°01′41″W,-122.02814776,0.4091,20.942°
36°58′13″N,36.97022698,122°02′17″W,-122.03802391,0.4812,236.034°
36°58′13″N,36.97036815,122°02′04″W,-122.03452013,0.3308,218.436°
36°58′27″N,36.97406039,122°01′40″W,-122.02783746,0.1634,91.373°
36°58′34″N,36.97619417,122°01′35″W,-122.02649195,0.2777,58.866°
36°58′16″N,36.97103539,122°01′58″W,-122.03274001,0.2385,206.744°
36°58′39″N,36.97755247,122°01′40″W,-122.02790973,0.286,33.871°
36°58′10″N,36.96934968,122°01′56″W,-122.03210073,0.3373,192.331°
36°58′39″N,36.97742347,122°01′34″W,-122.02603442,0.3484,49.004°
36°58′16″N,36.97116366,122°01′52″W,-122.03112272,0.2049,185.046°
36°58′41″N,36.97817112,122°01′33″W,-122.02593133,0.3882,43.79°
36°58′20″N,36.97221341,122°01′58″W,-122.03273702,0.1697,219.162°
36°58′12″N,36.97013348,122°01′45″W,-122.02922326,0.2887,162.49°
36°58′30″N,36.97491552,122°01′48″W,-122.02989804,0.0742,41.949°
36°58′31″N,36.97520095,122°01′22″W,-122.02285487,0.4449,80.303°
36°58′03″N,36.96744959,122°01′55″W,-122.03184916,0.4645,187.191°
36°58′39″N,36.97741122,122°02′04″W,-122.03438291,0.3018,318.984°
36°58′20″N,36.97233356,122°01′23″W,-122.02296235,0.4498,105.904°
36°58′33″N,36.97594552,122°01′40″W,-122.02766603,0.2141,53.827°
36°58′06″N,36.96844666,122°01′56″W,-122.03214837,0.399,190.786°
36°58′19″N,36.97205138,122°01′38″W,-122.02733321,0.2386,126.745°
36°58′40″N,36.97783625,122°01′27″W,-122.02408631,0.4509,55.245°
36°58′31″N,36.97530738,122°01′57″W,-122.03256096,0.1275,310.175°
36°58′10″N,36.9694513,122°01′56″W,-122.03222728,0.332,193.768°
36°58′09″N,36.96919126,122°02′01″W,-122.03363518,0.3748,204.724°
36°58′22″N,36.97278231,122°01′39″W,-122.02737936,0.21,116.056°
36°58′43″N,36.9787256,122°01′47″W,-122.02958959,0.3254,11.815°
36°58′47″N,36.97965418,122°01′57″W,-122.03236558,0.3924,347.243°
36°58′34″N,36.9760944,122°01′50″W,-122.03063161,0.137,3.807°
36°58′06″N,36.96830768,122°01′45″W,-122.02919882,0.4111,167.609°
36°58′31″N,36.97531811,122°01′28″W,-122.02441387,0.3621,76.744°
36°58′41″N,36.97795599,122°01′35″W,-122.02642792,0.3586,42.272°
36°58′26″N,36.97385213,122°01′38″W,-122.02720238,0.1993,95.272°
36°58′40″N,36.97788422,122°02′02″W,-122.03378256,0.3082,327.655°
36°58′50″N,36.98049714,122°01′37″W,-122.02707581,0.4865,24.978°
36°58′17″N,36.97129111,122°01′43″W,-122.028576,0.2306,147.883°
36°58′44″N,36.97876496,122°01′44″W,-122.02892555,0.3374,17.825°
36°58′44″N,36.97894586,122°01′38″W,-122.02722015,0.3878,30.609°
36°58′35″N,36.97643004,122°01′48″W,-122.02991703,0.1671,16.893°
36°58′30″N,36.97490452,122°01′50″W,-122.03059861,0.0555,11.341°
36°58′14″N,36.97068274,122°02′16″W,-122.03791103,0.459,238.862°
36°58′31″N,36.97531735,122°01′59″W,-122.03322459,0.1577,301.746°
36°58′33″N,36.97580074,122°01′31″W,-122.02530042,0.325,69.019°
36°58′23″N,36.97298368,122°02′17″W,-122.03808947,0.4103,258.994°
36°58′13″N,36.97023698,122°01′43″W,-122.02848528,0.297,154.552°
36°58′35″N,36.9764737,122°02′11″W,-122.03636862,0.3481,297.897°
36°58′25″N,36.97362134,122°02′18″W,-122.03819466,0.41,265.208°
36°58′45″N,36.97924095,122°01′48″W,-122.03003605,0.3566,6.76°
36°58′16″N,36.97109145,122°02′10″W,-122.0362117,0.3649,235.035°
36°58′30″N,36.97508655,122°02′07″W,-122.03523538,0.2541,285.29°
36°58′33″N,36.97576121,122°02′04″W,-122.03449834,0.2339,299.071°
36°58′29″N,36.97474053,122°01′29″W,-122.02461182,0.3442,82.807°
36°58′37″N,36.97692021,122°01′42″W,-122.02826218,0.239,35.837°
36°58′33″N,36.97587937,122°02′16″W,-122.03772207,0.4013,287.669°
36°58′28″N,36.97438127,122°01′29″W,-122.02472952,0.3355,86.878°
36°58′28″N,36.97449166,122°01′42″W,-122.02823196,0.1439,79.638°
36°58′35″N,36.9765272,122°02′08″W,-122.03548395,0.3078,302.765°
36°58′36″N,36.97655628,122°02′08″W,-122.03560668,0.3146,302.405°
36°58′11″N,36.96977133,122°02′04″W,-122.03438554,0.3599,213.42°
36°58′47″N,36.97973346,122°01′42″W,-122.02839706,0.4102,18.843°
36°58′31″N,36.9753763,122°01′22″W,-122.02268387,0.4563,79.002°
36°58′19″N,36.97198632,122°02′16″W,-122.03772275,0.4098,248.942°
36°58′24″N,36.97329801,122°02′21″W,-122.0392782,0.4718,263.11°
36°58′45″N,36.97909581,122°01′50″W,-122.03055137,0.3444,2.251°
36°58′06″N,36.96828531,122°01′49″W,-122.03029336,0.404,176.058°
36°58′47″N,36.97968255,122°01′43″W,-122.02868192,0.402,16.883°
36°58′26″N,36.97386014,122°02′16″W,-122.03785665,0.3903,267.394°
36°58′46″N,36.97949023,122°02′12″W,-122.03677466,0.4969,318.369°
36°58′34″N,36.9761216,122°02′01″W,-122.03352776,0.2048,312.571°
36°58′20″N,36.97209777,122°02′10″W,-122.03609068,0.324,244.481°
36°58′10″N,36.9694737,122°01′55″W,-122.03189466,0.3266,190.702°
36°58′24″N,36.97323026,122°01′56″W,-122.03231893,0.104,233.907°
36°58′38″N,36.97734724,122°02′14″W,-122.03736079,0.4257,301.632°
36°58′03″N,36.96761007,122°01′54″W,-122.03161111,0.452,185.713°
36°58′41″N,36.9780902,122°01′58″W,-122.03269118,0.2939,339.143°
36°58′43″N,36.9785105,122°01′40″W,-122.027781,0.3463,28.735°
36°58′19″N,36.97193931,122°02′04″W,-122.03456228,0.2567,234.103°
36°58′42″N,36.97823986,122°02′11″W,-122.03626631,0.4152,313.335°
36°58′46″N,36.97944789,122°02′08″W,-122.03542685,0.4485,325.243°
36°58′14″N,36.97057333,122°01′44″W,-122.0288226,0.2681,156.012°
36°58′09″N,36.9690793,122°01′38″W,-122.02714372,0.4024,149.917°
36°58′16″N,36.97124732,122°02′06″W,-122.03495243,0.3033,229.165°
36°58′11″N,36.96976314,122°01′46″W,-122.02931051,0.3119,164.749°
36°58′25″N,36.97354998,122°02′01″W,-122.03371469,0.1658,256.33°
36°58′20″N,36.9722667,122°01′24″W,-122.02321384,0.4378,106.984°
36°58′20″N,36.97232833,122°01′45″W,-122.02914589,0.1536,143.605°
36°58′20″N,36.97217858,122°01′45″W,-122.02908408,0.164,144.791°
36°58′08″N,36.96883236,122°01′53″W,-122.0312569,0.3661,183.983°
36°58′43″N,36.97865988,122°01′36″W,-122.02662414,0.3894,36.267°
36°58′09″N,36.96918274,122°01′47″W,-122.02960641,0.3473,169.095°
36°58′11″N,36.96974557,122°01′31″W,-122.02516138,0.4337,134.157°
36°58′23″N,36.97307646,122°01′42″W,-122.02842708,0.1493,118.801°
36°58′03″N,36.96748648,122°01′40″W,-122.02769319,0.4893,159.498°
36°58′30″N,36.97493988,122°01′35″W,-122.02633631,0.2527,76.996°
36°58′24″N,36.9732793,122°01′42″W,-122.02819878,0.1547,111.984°
36°58′40″N,36.97770289,122°02′09″W,-122.03571246,0.3676,312.398°
36°58′07″N,36.96873261,122°02′12″W,-122.03680057,0.4984,221.7°
36°58′30″N,36.9751375,122°02′17″W,-122.03814601,0.4119,279.861°
36°58′11″N,36.96962965,122°01′39″W,-122.02746819,0.3605,149.351°
36°58′13″N,36.97017872,122°02′18″W,-122.0383697,0.499,236.942°
36°58′08″N,36.96875419,122°01′33″W,-122.02582497,0.4612,143.475°
36°58′14″N,36.97043513,122°01′29″W,-122.02469585,0.4222,127.068°
36°58′11″N,36.96959558,122°01′28″W,-122.02431131,0.4753,131.109°
36°58′35″N,36.97642019,122°02′10″W,-122.03607646,0.3322,298.635°
36°58′46″N,36.97936298,122°01′51″W,-122.03081519,0.3626,359.835°
36°58′42″N,36.97820298,122°01′26″W,-122.0239466,0.472,53.25°
36°58′30″N,36.97486398,122°02′22″W,-122.03954562,0.4859,276.102°
36°58′32″N,36.97550886,122°01′40″W,-122.02791168,0.1861,58.87°
36°58′36″N,36.97653679,122°01′59″W,-122.03317375,0.2126,321.871°
36°58′16″N,36.97107753,122°01′46″W,-122.029576,0.2206,162.216°
36°58′39″N,36.97756836,122°01′50″W,-122.03060039,0.2388,2.597°
36°58′38″N,36.97726934,122°01′23″W,-122.02307207,0.4789,62.938°
36°58′14″N,36.97045904,122°01′50″W,-122.03062448,0.253,177.851°
