38°26′13″N,38.4370678,122°42′34″W,-122.70942634,0.3417,132.833°
38°26′06″N,38.43492543,122°42′39″W,-122.71073884,0.4206,154.735°
38°26′23″N,38.4397402,122°42′24″W,-122.70659601,0.4066,96.722°
38°26′34″N,38.44273038,122°42′58″W,-122.71606882,0.1928,325.572°
38°26′33″N,38.44250172,122°42′26″W,-122.70731843,0.3918,68.551°
38°26′23″N,38.43962685,122°43′10″W,-122.71935075,0.292,259.057°
38°26′12″N,38.43655565,122°42′52″W,-122.71435128,0.2682,183.431°
38°26′42″N,38.4449091,122°43′11″W,-122.71965783,0.4335,315.594°
38°26′34″N,38.44280792,122°42′42″W,-122.7117711,0.2057,36.938°
38°26′28″N,38.44122869,122°43′22″W,-122.72288541,0.4812,276.598°
38°26′21″N,38.43913454,122°42′38″W,-122.71063504,0.2056,115.792°
38°26′18″N,38.43836821,122°42′38″W,-122.71066326,0.2324,127.802°
38°26′46″N,38.44618023,122°42′50″W,-122.71388009,0.3976,1.363°
38°26′11″N,38.43652406,122°42′40″W,-122.71097256,0.3173,148.272°
38°26′27″N,38.44087875,122°42′57″W,-122.71583402,0.1012,287.887°
38°26′33″N,38.44240255,122°42′35″W,-122.70977778,0.2687,59.495°
38°26′09″N,38.43583979,122°43′05″W,-122.71800529,0.3826,213.992°
38°26′27″N,38.44093695,122°43′09″W,-122.71910185,0.2755,277.324°
38°26′40″N,38.44434104,122°42′46″W,-122.71272733,0.2798,14.883°
38°26′10″N,38.4360086,122°42′49″W,-122.71364919,0.3063,175.889°
38°26′26″N,38.4404389,122°42′44″W,-122.71217572,0.1017,89.614°
38°26′46″N,38.44615308,122°42′31″W,-122.70857422,0.4945,36.865°
38°26′12″N,38.43663469,122°43′09″W,-122.71909039,0.3783,226.112°
38°26′08″N,38.43563413,122°42′44″W,-122.71217142,0.3467,162.898°
38°26′38″N,38.44375701,122°43′06″W,-122.71828287,0.3245,315.143°
38°26′08″N,38.43557531,122°42′59″W,-122.7164762,0.3602,201.344°
