37°58′53″N,37.98127511,122°02′18″W,-122.03835754,0.4576,299.872°
37°58′32″N,37.97564734,122°02′14″W,-122.03710684,0.3661,243.899°
37°58′42″N,37.97831883,122°02′10″W,-122.03605088,0.2722,274.972°
37°58′29″N,37.97485687,122°02′12″W,-122.03669617,0.3747,234.853°
37°58′49″N,37.98024255,122°02′02″W,-122.03381711,0.2165,316.323°
37°58′53″N,37.98125811,122°02′03″W,-122.03430189,0.287,322.198°
37°59′02″N,37.98376495,122°02′02″W,-122.0340122,0.4309,338.186°
37°58′40″N,37.97782082,122°01′30″W,-122.02496361,0.333,91.863°
37°58′36″N,37.97663439,122°01′21″W,-122.0226026,0.4707,101.372°
37°58′35″N,37.97628951,122°01′38″W,-122.02718555,0.2418,118.847°
37°58′43″N,37.978525,122°01′37″W,-122.02704594,0.2226,80.215°
37°58′49″N,37.98029207,122°01′37″W,-122.0270148,0.2729,54.114°
37°58′38″N,37.9771094,122°02′08″W,-122.03552175,0.2497,256.095°
37°58′38″N,37.97710009,122°02′24″W,-122.04006658,0.4937,262.946°
37°58′48″N,37.97995181,122°01′38″W,-122.02729224,0.2471,56.478°
37°59′00″N,37.98322411,122°01′55″W,-122.03191884,0.3655,352.761°
37°58′38″N,37.9773188,122°02′16″W,-122.03779165,0.3688,262.911°
37°58′37″N,37.97686384,122°01′30″W,-122.02490796,0.3446,102.906°
37°59′01″N,37.98351273,122°02′10″W,-122.03603837,0.4685,324.74°
37°58′27″N,37.97420862,122°01′51″W,-122.0308232,0.2609,177.006°
37°59′05″N,37.98468376,122°01′50″W,-122.03064004,0.4641,2.915°
37°58′38″N,37.9772922,122°01′45″W,-122.02924869,0.1101,115.48°
37°58′23″N,37.97308054,122°01′59″W,-122.03297536,0.354,197.024°
37°58′19″N,37.97184231,122°01′50″W,-122.03057077,0.4249,176.306°
37°58′40″N,37.97767162,122°01′45″W,-122.02915085,0.1069,101.415°
